Smoothed X 2	Smoothed Y 2
6	-0.97309066158804
7	-10.0959875342938
8	-16.9381334125251
9	-26.0422620066007
10	-33.6233915341397
11	-39.7653859339158
12	-44.4479424832513
13	-47.7998262584706
14	-50.0010973922412
15	-51.2037196001907
16	-51.6412347103655
17	-51.4496061369032
18	-50.8366245446354
19	-49.8793504845103
20	-48.7241980083038
21	-47.4316503983984
22	-46.1161317386975
23	-44.8197884048025
24	-43.5768910599997
25	-42.3896559364597
26	-41.3639220980803
27	-40.6763909003884
28	-40.4075624527037
29	-40.4862550259133
30	-40.8815431059897
31	-41.4667824778457
32	-42.0972841182103
33	-42.6798064805816
34	-43.2468156268944
35	-43.7461414288729
36	-44.2669142444928
37	-44.8107457172871
38	-45.423007119447
39	-46.024500989144
40	-46.6366587068637
41	-47.1480301489184
42	-47.4241965353737
43	-47.3237616636107
44	-46.9670803942035
45	-46.3195409719398
46	-45.4136238322904
47	-44.4446133607626
48	-43.4946946307023
49	-42.4441162393739
50	-41.3877066652725
51	-40.2325675838689
52	-38.8519555529704
53	-37.2500565546751
54	-35.6038056606799
55	-33.9251747960845
56	-32.4105932205915
57	-31.084916855519
58	-29.9717000825206
59	-28.8815384043505
60	-27.8924824105948
61	-26.8683144141237
62	-25.8206712137659
63	-24.7750265005479
64	-23.8329187235236
65	-22.8913354390363
66	-22.0890191403279
67	-21.5210355755438
68	-21.1293807669232
69	-20.9562591237326
70	-21.0277124971151
71	-21.2808197634667
72	-21.7476980647196
73	-22.5092591218402
74	-23.6269089283297
75	-25.0997888067365
76	-26.9621388499439
77	-29.0365396663298
78	-31.2200871595492
79	-33.46068133985
80	-35.771370348384
81	-38.0082380549113
82	-40.2378899906327
83	-42.4884413990378
84	-44.5448615113894
85	-46.299009545967
86	-47.6461451662828
87	-48.496437977006
88	-48.8310193373263
89	-48.7861786365509
90	-48.3233695362756
91	-47.6235128901899
92	-46.8140863357236
93	-45.9019550556689
94	-44.9426977843294
95	-44.0386685677121
96	-43.2428410560886
97	-42.5845291729023
98	-42.1613756812115
99	-42.0369310711821
100	-42.2570962183674
101	-42.8468897895763
102	-43.704677267919
103	-44.7153696432213
104	-45.7519947813203
105	-46.7582411907613
106	-47.6134829077373
107	-48.3407399850339
108	-48.9738260257741
109	-49.5183966522912
110	-49.9230031136423
111	-50.2199468206366
112	-50.3639043977608
113	-50.2377601679663
114	-49.8484330386172
115	-49.1981172771007
116	-48.3528398266683
117	-47.4556573417286
118	-46.6070448615899
119	-45.7653512622416
120	-45.0058791940162
121	-44.2970268604656
122	-43.4762536250055
123	-42.5661957187702
124	-41.6150414442519
125	-40.6055823664864
126	-39.5269660841673
127	-38.4404119814932
128	-37.4088535111149
129	-36.4930606486151
130	-35.7102305669337
131	-35.0079636144638
132	-34.3960155063371
133	-33.7705821760992
134	-33.1768473058442
135	-32.5840294580907
136	-32.1001228715231
137	-31.8350076669206
138	-31.7789742103716
139	-31.830222183615
140	-31.9946962719411
141	-32.2448730537792
142	-32.4328329109649
143	-32.5692877881229
144	-32.6692224659274
145	-32.8027511534095
146	-32.9896371590098
147	-33.2606605769197
148	-33.7469070300957
149	-34.515537898764
150	-35.5439005377392
151	-36.812327201739
152	-38.35292524755
153	-40.1046912046025
154	-42.0515475557993
155	-44.1974501247704
156	-46.5117536839098
157	-48.9205116110047
158	-51.3159104413043
159	-53.6141606252144
160	-55.6324286798139
161	-57.2935710442066
162	-58.5143630822003
163	-59.2489070215076
164	-59.3928838273386
165	-58.9316832953691
166	-57.8376692052931
167	-56.1219811638445
168	-53.900940079242
169	-51.2518623328457
170	-48.2148388842742
171	-44.9228915109237
172	-41.5789926618834
173	-38.2688249904911
174	-35.0790456280361
175	-32.2302539539089
176	-29.750903131937
177	-27.7162261119485
178	-26.241888683637
179	-25.4152400962512
180	-25.2936221984029
181	-25.9167473694434
182	-27.2238495013615
183	-29.0678970087816
184	-31.3723751608034
185	-34.06445340467
186	-37.0637967236092
187	-40.2567614960919
188	-43.6667514077574
189	-47.1786092592279
190	-50.668985339875
191	-54.1559095826
192	-57.6182435302933
193	-60.8167590951175
194	-63.7341990505656
195	-66.3120415366193
196	-68.4912631009519
197	-70.2813813098023
198	-71.7338324267169
199	-72.8514413504551
200	-73.7209821995844
201	-74.257846641466
202	-74.4511463595182
203	-74.3126788254082
204	-73.9742986972133
205	-73.4080121384561
206	-72.7007013848424
207	-71.9344543901583
208	-71.3140037441005
209	-70.7719384429107
210	-70.4177769184112
211	-70.2632702699552
212	-70.2743388872842
213	-70.4214747100075
214	-70.8425426016499
215	-71.4978310403228
216	-72.4866952011982
217	-73.821232152457
218	-75.4001628460487
219	-77.0862944666296
220	-78.8425486002863
221	-80.5391731779774
222	-82.0888716432204
223	-83.4576892090589
224	-84.7012699723741
225	-85.7557349158079
226	-86.6386971025914
227	-87.3742269809793
228	-87.9429335175455
229	-88.1627604441097
230	-87.9560246384889
231	-87.2374487368763
232	-86.0328926454236
233	-84.4953795910875
234	-82.8679845698923
235	-81.2457189205537
236	-79.7415273072571
237	-78.3223321929326
238	-76.8391716624796
239	-75.2119802390039
240	-73.5249111345907
241	-71.8318819226324
242	-70.237709693114
243	-68.9394340869536
244	-68.0353344309578
245	-67.5616458978007
246	-67.5311593542248
247	-67.9288081092387
248	-68.5597460555534
249	-69.1582796144982
250	-69.6595722915729
251	-69.9506676716109
252	-70.0432345372687
253	-70.0867580867559
254	-70.1940016207844
255	-70.238888891687
256	-70.1582499878357
257	-69.8550912582626
258	-69.180663327078
259	-68.1776729172468
260	-67.0265448478858
261	-65.8691961960991
262	-64.7773580592374
263	-63.961065603892
264	-63.5669980447988
265	-63.6786385036757
266	-64.316215406855
267	-65.4993184910715
268	-67.0866729411731
269	-68.9660353323818
270	-71.1042543792228
271	-73.4545350085448
272	-75.9795485894383
273	-78.7062153829138
274	-81.5704149798056
275	-84.4367571300269
276	-87.2358518693597
