Smoothed X1,Smoothed Y1,Smoothed X 2,Smoothed Y 2
1,41.8006370608,1,41.8006370608
2,43.7274079969,2,43.1343699746
3,43.8750648662,3,42.6455335832
4,42.682565856,4,41.7602288666
5,41.1419921361,5,40.8208202438
6,39.974933422,6,40.870713812
7,39.1190007281,7,40.9938493125
8,36.473521078,8,39.5539741598
9,38.5922590502,9,36.955885247
10,40.819455602,10,33.1025468668
11,41.3710141361,11,28.1750936667
12,41.2950640138,12,22.2058781105
13,42.047125116,13,16.5444851482
14,40.225193518,14,11.1451597915
15,20.1643778171,15,6.142740346
16,2.8293033678,16,1.6781799853
17,-14.0726677049,17,-2.5434811577
18,-30.0367331356,18,-6.7184513931
19,-46.8556674875,19,-10.9627527093
20,-43.7789022978,20,-15.2921268709
21,-41.014946929,21,-19.5907995802
22,-35.9172909547,22,-23.6625241733
23,-30.4948843323,23,-26.1439535862
24,-24.7326580949,24,-27.091307688
25,-21.8050979286,25,-26.6089685628
26,-22.2935056064,26,-25.0282589333
27,-23.64554841,27,-22.4055911845
28,-22.4329655237,28,-20.1311160491
29,-20.8506753784,29,-18.2394257664
30,-17.0570633773,30,-16.9687945753
31,-11.3810081594,31,-16.4456359801
32,-6.8375808269,32,-16.6844494877
33,-6.326088693,33,-17.4573094
34,-7.5156512558,34,-18.3525697467
35,-9.6617752664,35,-19.2033389655
36,-12.6395926882,36,-20.068483492
37,-16.8578230876,37,-20.9675536664
38,-22.6475054055,38,-22.1769343022
39,-28.3148607075,39,-23.9309234686
40,-33.3979966141,40,-26.2399994334
41,-35.7224108074,41,-28.7765810668
42,-36.4070866916,42,-31.3731939037
43,-35.4101334207,43,-33.885581576
44,-34.3367279951,44,-36.2731569445
45,-35.1977729131,45,-38.4402068625
46,-37.6908456556,46,-40.3065300906
47,-41.4737202995,47,-41.8954726588
48,-44.3748131938,48,-43.1733924082
49,-46.4648438092,49,-44.3712416617
50,-47.3475903511,50,-45.5592375556
51,-48.4532232162,51,-46.8550958808
52,-49.3635718569,52,-48.132420638
53,-50.6423538271,53,-49.2216317601
54,-52.1489992313,54,-49.8921517575
55,-52.5667928543,55,-50.0198636399
56,-53.6901496094,56,-49.7048084282
57,-54.2270251002,57,-48.9975750142
58,-54.8480082989,58,-48.0455277698
59,-53.4965993527,59,-46.9380016279
60,-51.5359397452,60,-45.7811212031
61,-47.748645616,61,-44.4833798349
62,-43.3893985361,62,-43.1328606702
63,-39.6489850186,63,-41.9349486451
64,-35.8563425988,64,-40.8806904603
65,-33.0668816857,65,-40.0947014417
66,-31.840331088,66,-39.5466779522
67,-32.0103654839,67,-39.3528755509
68,-31.1762333043,68,-39.5357767548
69,-31.8912117615,69,-40.2180212313
70,-34.598112477,70,-41.2477786112
71,-37.876276838,71,-42.1710983827
72,-42.4371898204,72,-43.0023321237
73,-46.6276559565,73,-43.5175116519
74,-50.589563334,74,-43.607087107
75,-54.2794578034,75,-43.1907064754
76,-57.9823127627,76,-43.1908401997
77,-58.8357592355,77,-43.2697381533
78,-53.4987815905,78,-43.3025868277
79,-48.3248487137,79,-43.2621185781
80,-40.7945746094,80,-43.0688733403
81,-33.183962914,81,-42.3456357546
82,-25.7646560099,82,-41.3687016648
83,-31.178239169,83,-40.3702529664
84,-33.0746810656,84,-39.2551866176
85,-35.090842592,85,-37.8930896426
86,-37.2692530945,86,-36.7685436903
87,-39.5385112543,87,-35.7675102036
88,-35.7790921699,88,-34.9913625097
89,-35.935551988,89,-34.4855570287
90,-39.3027273275,90,-34.4826253816
91,-41.2563175306,91,-34.0193399419
92,-38.4043046109,92,-33.4064429909
93,-36.630592306,93,-32.6817990354
94,-33.3093464132,94,-31.6978101924
95,-29.1523591995,95,-30.6699624353
96,-25.5968806997,96,-29.9300090158
