Smoothed X1	Smoothed Y1	Smoothed X 2	Smoothed Y 2
1	41.8006370607764	1	41.8006370607764
2	43.7274079968532	2	43.1343699746248
3	43.8750648662448	3	42.6455335831891
4	42.6825658559799	4	41.7602288665693
5	41.141992136091	5	40.8208202437946
6	39.9749334219843	6	40.8707138120225
7	39.1190007280558	7	40.9938493124663
8	36.4735210780054	8	39.5539741598152
9	38.5922590501606	9	36.9558852469507
10	40.81945560202	10	33.1025468668342
11	41.371014136076	11	28.1750936667124
12	41.2950640138239	12	22.2058781104783
13	42.0471251159906	13	16.5444851482163
14	40.2251935180277	14	11.1451597914845
15	20.164377817139	15	6.1427403459698
16	2.82930336780846	16	1.67817998528481
17	-14.0726677048951	17	-2.54348115772008
18	-30.036733135581	18	-6.71845139309763
19	-46.8556674875319	19	-10.9627527092646
20	-43.7789022978395	20	-15.2921268708507
21	-41.0149469289929	21	-19.5907995801667
22	-35.9172909546644	22	-23.6625241732597
23	-30.4948843322694	23	-26.1439535862207
24	-24.7326580949128	24	-27.0913076880326
25	-21.8050979286432	25	-26.6089685628315
26	-22.2935056064278	26	-25.0282589333256
27	-23.6455484099686	27	-22.4055911845465
28	-22.4329655237496	28	-20.1311160491159
29	-20.8506753783673	29	-18.2394257663935
30	-17.0570633772761	30	-16.9687945752591
31	-11.3810081593692	31	-16.4456359801441
32	-6.83758082687855	32	-16.6844494876514
33	-6.32608869299293	33	-17.4573094000171
34	-7.51565125584602	34	-18.3525697467476
35	-9.66177526637912	35	-19.2033389655252
36	-12.6395926881582	36	-20.068483491987
37	-16.8578230876476	37	-20.9675536664327
38	-22.6475054055452	38	-22.1769343021512
39	-28.3148607075214	39	-23.9309234685699
40	-33.3979966141284	40	-26.2399994334082
41	-35.722410807386	41	-28.7765810667972
42	-36.4070866916329	42	-31.3731939036896
43	-35.410133420676	43	-33.8855815760046
44	-34.3367279950529	44	-36.2731569445382
45	-35.1977729130536	45	-38.4402068624894
46	-37.6908456556499	46	-40.3065300905953
47	-41.4737202994525	47	-41.8954726588478
48	-44.3748131938279	48	-43.1733924081922
49	-46.4648438092321	49	-44.3712416616579
50	-47.3475903511047	50	-45.5592375555634
51	-48.4532232161611	51	-46.8550958807766
52	-49.363571856916	52	-48.1324206379553
53	-50.6423538271338	53	-49.2216317601005
54	-52.1489992313087	54	-49.8921517574539
55	-52.5667928542942	55	-50.0198636398961
56	-53.690149609372	56	-49.704808428213
57	-54.2270251002163	57	-48.9975750141839
58	-54.8480082988739	58	-48.0455277698239
59	-53.4965993527323	59	-46.9380016279469
60	-51.5359397452325	60	-45.7811212030798
61	-47.7486456159502	61	-44.4833798348903
62	-43.3893985360861	62	-43.1328606702387
63	-39.6489850185812	63	-41.9349486450851
64	-35.8563425987959	64	-40.8806904603292
65	-33.066881685704	65	-40.0947014416754
66	-31.8403310880065	66	-39.5466779521853
67	-32.0103654839098	67	-39.3528755509356
68	-31.176233304292	68	-39.5357767548163
69	-31.8912117615342	69	-40.2180212312688
70	-34.5981124769896	70	-41.2477786112328
71	-37.8762768380344	71	-42.1710983826965
72	-42.4371898204088	72	-43.0023321236918
73	-46.6276559565216	73	-43.5175116519381
74	-50.5895633339882	74	-43.6070871070027
75	-54.2794578034431	75	-43.1907064754019
76	-57.9823127627373	76	-43.1908401997139
77	-58.835759235546	77	-43.2697381533186
78	-53.4987815905362	78	-43.3025868276507
79	-48.3248487137258	79	-43.2621185780813
80	-40.7945746093988	80	-43.0688733403385
81	-33.1839629139751	81	-42.3456357545654
82	-25.7646560098976	82	-41.3687016648303
83	-31.1782391689718	83	-40.3702529664338
84	-33.0746810656041	84	-39.2551866176228
85	-35.0908425919712	85	-37.8930896426489
86	-37.2692530944943	86	-36.7685436903437
87	-39.5385112542659	87	-35.7675102036446
88	-35.7790921699256	88	-34.991362509653
89	-35.9355519879609	89	-34.4855570287009
90	-39.3027273274958	90	-34.4826253816237
91	-41.2563175305724	91	-34.0193399419387
92	-38.4043046109378	92	-33.4064429908991
93	-36.6305923059583	93	-32.6817990354449
94	-33.3093464132398	94	-31.6978101923565
95	-29.1523591995239	95	-30.6699624352902
96	-25.5968806996942	96	-29.9300090158483
97	-25.7206813037395	97	-29.2043079699824
98	-24.228957573697	98	-28.1515366622806
99	-23.8812268000096	99	-26.9655738102397
100	-24.2211832601577	100	-25.9057817028215
101	-22.5094204481691	101	-25.0208721620093
102	-24.1207948982716	102	-24.4442199363311
103	-24.6797908782959	103	-24.180540266484
